ticker,quarter,year,value,source,source_url,retrieved,note
A,2016Q4,2016,0.238,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2017Q1,2017,0.2236,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2017Q2,2017,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2017Q3,2017,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2017Q4,2017,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2018Q1,2018,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2018Q2,2018,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2018Q3,2018,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2018Q4,2018,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2019Q1,2019,0.1937,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2019Q2,2019,0.1937,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2019Q3,2019,0.1937,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2019Q4,2019,0.1937,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2020Q1,2020,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2020Q2,2020,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2020Q3,2020,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2020Q4,2020,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2021Q1,2021,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2021Q2,2021,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2021Q3,2021,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2021Q4,2021,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2022Q1,2022,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2022Q2,2022,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2022Q3,2022,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2022Q4,2022,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2023Q1,2023,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2023Q2,2023,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2023Q3,2023,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2023Q4,2023,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2024Q1,2024,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2024Q2,2024,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2024Q3,2024,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2024Q4,2024,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2025Q1,2025,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2025Q2,2025,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2025Q3,2025,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
A,2025Q4,2025,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2016Q4,2016,0.0696,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2017Q1,2017,0.0654,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2017Q2,2017,0.0611,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2017Q3,2017,0.0698,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2017Q4,2017,0.0872,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2018Q1,2018,0.0715,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2018Q2,2018,0.064,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2018Q3,2018,0.064,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2018Q4,2018,0.0489,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2019Q1,2019,0.0615,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2019Q2,2019,0.0615,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2019Q3,2019,0.0538,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2019Q4,2019,0.0538,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2020Q1,2020,0.0583,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2020Q2,2020,0.051,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2020Q3,2020,0.0546,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2020Q4,2020,0.0546,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2021Q1,2021,0.0301,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2021Q2,2021,0.0383,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2021Q3,2021,0.0273,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2021Q4,2021,0.0246,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2022Q1,2022,0.0254,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2022Q2,2022,0.0254,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2022Q3,2022,0.038,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2022Q4,2022,0.0456,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2023Q1,2023,0.0496,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2023Q2,2023,0.047,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2023Q3,2023,0.0417,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2023Q4,2023,0.0365,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2024Q1,2024,0.0332,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2024Q2,2024,0.0358,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2024Q3,2024,0.0358,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2024Q4,2024,0.0384,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2025Q1,2025,0.036,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2025Q2,2025,0.0408,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2025Q3,2025,0.0433,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
AAPL,2025Q4,2025,0.0384,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
ABBV,2016Q4,2016,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
ABBV,2017Q1,2017,0.0354,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
ABBV,2017Q2,2017,0.1063,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
ABBV,2017Q3,2017,0.1063,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
ABBV,2017Q4,2017,0.1063,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
ABBV,2018Q1,2018,0.0611,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
ABBV,2018Q2,2018,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
ABBV,2018Q3,2018,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
ABBV,2018Q4,2018,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
ABBV,2019Q1,2019,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
ABBV,2019Q2,2019,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
ABBV,2019Q3,2019,0.0,CourtListener RECAP federal dockets,https://www.courtlistener.com/api/rest/v4/search/,2026-09-12,trailing 4q
